time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
1.281,25,3,0,81,14,2,10,6,0,82,16,2,4,6,0,80,16,2,70,9,14,84,22,5
1.298,25,3,0,80,14,2,10,5,0,83,16,2,4,6,0,79,16,2,70,9,14,84,22,5
1.315,26,4,0,80,14,2,10,5,0,83,16,2,4,6,0,79,16,2,70,9,14,84,23,6
1.331,26,4,0,80,14,2,10,5,0,82,16,2,4,6,0,80,16,2,70,8,14,84,23,6
1.348,26,5,0,81,14,2,10,5,0,82,16,2,4,6,0,80,16,2,70,8,14,84,22,6
1.365,26,5,0,82,15,2,10,5,0,81,15,1,5,6,0,81,16,2,69,8,14,83,22,6
1.384,26,6,0,83,15,2,10,5,0,80,15,1,5,7,0,81,16,2,69,8,14,82,22,6
1.4,26,6,0,83,15,2,10,5,0,79,15,1,5,7,0,82,16,2,69,8,14,82,22,6
1.414,26,5,0,84,15,2,10,5,0,79,15,1,5,6,0,83,16,2,69,8,14,81,22,6
1.433,26,5,0,84,15,2,10,5,0,79,15,1,5,6,0,82,16,2,70,9,14,81,22,6
1.45,26,5,0,83,15,2,10,5,0,80,15,1,5,6,0,82,16,2,70,9,14,81,22,6
1.465,26,5,0,83,15,2,10,5,0,80,15,1,5,6,0,81,16,2,70,9,14,82,22,6
1.481,26,5,0,82,15,2,10,5,0,81,15,1,5,6,0,81,16,2,70,9,14,83,22,6
1.499,26,5,0,81,15,2,10,6,0,82,16,2,5,6,0,80,16,2,70,9,15,84,23,6
1.516,27,5,0,80,14,2,10,5,0,83,16,2,5,6,0,79,16,2,70,9,15,84,23,6
1.533,27,5,0,80,14,2,10,5,0,83,16,2,5,6,0,79,16,2,70,9,14,84,23,6
1.548,27,5,0,80,14,2,10,5,0,82,16,2,5,6,0,79,16,2,70,9,14,84,23,6
